Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-01-03,14889.99,14890.0,14799.0,14890.0,0.1334,1985.870716,14886.587076462
2018-01-02,13699.99,14890.0,13500.01,14890.0,0.7621,10851.736065,14239.254776276
2018-01-01,14867.99,14867.99,13100.0,13100.0,0.5564,7637.109836,13725.934284687
2017-12-31,12701.0,14868.0,12701.0,14000.01,0.6949,9842.360156,14163.707232695
2017-12-30,13580.01,13580.01,12000.01,12483.16,2.9029,38109.233519,13127.987019532
2017-12-29,13550.01,15200.0,13550.01,13800.0,0.6164,8861.613302,14376.400554835
2017-12-28,14400.0,14899.99,13550.0,13550.0,0.6865,9599.499995,13983.248353969
2017-12-27,15650.0,16399.99,14790.0,14990.0,0.6723,10317.764168,15346.964402796
2017-12-26,14990.0,16499.0,14990.0,15592.75,1.3827,21933.125426,15862.533757142
2017-12-25,13999.0,14190.0,13900.0,14101.0,0.801,11250.199,14045.192259675
2017-12-24,14600.0,15999.99,13001.01,13999.0,2.3965,35015.826571,14611.235790111
2017-12-23,13600.0,15000.02,13600.0,14600.0,0.5949,8889.528235,14942.89499916
2017-12-22,14002.1,16495.99,10400.01,13500.0,4.093,54879.727527,13408.19143098
2017-12-21,16846.5,17489.59,15000.0,15000.0,0.489,7603.097881,15548.257425358
2017-12-20,17200.0,18999.0,16296.03,16476.8,1.8254,30336.751298,16619.234851539
2017-12-19,19299.99,19299.99,16505.0,17400.0,3.69,66788.66953,18099.910441734
2017-12-18,18750.03,19100.0,18015.99,18800.0,0.866,16360.72446,18892.291524249
2017-12-17,19000.0,19999.99,19000.0,19999.99,0.66,13194.49445,19991.658257576
2017-12-16,17998.95,19600.0,17998.95,19550.01,2.251,42621.42198,18934.438907152
2017-12-15,17348.99,17995.0,17000.0,17899.99,1.472,25677.9039,17444.228192935
2017-12-14,16001.02,17349.97,15500.05,17349.79,3.65,60013.86654,16442.155216438
2017-12-13,16600.27,18494.42,15500.0,16680.0,1.073,17669.58827,16467.463438956
2017-12-12,16497.23,18995.0,16100.51,17499.0,4.651,80392.18437,17284.924611911
2017-12-11,15899.0,16900.0,14000.61,16497.45,3.409,56597.66615,16602.424801995
2017-12-10,14600.0,15790.0,13400.0,15790.0,6.145,89829.60244,14618.324237592
2017-12-09,16200.0,16280.71,13500.0,14900.01,5.162,75762.83552,14677.031290198
2017-12-08,17300.01,17537.24,14050.0,16200.01,12.242,195216.52393,15946.456782388
2017-12-07,14000.0,17399.0,13200.01,17399.0,6.511,100819.09115,15484.42499616
2017-12-06,11580.22,14000.0,11580.22,13593.2,11.33,148325.16409,13091.364879965
2017-12-05,11625.55,11999.99,11470.0,11580.44,2.731,32081.25602,11747.0728744
2017-12-04,11290.0,11647.4,11008.19,11647.4,4.671,53155.40122,11379.8760908
2017-12-03,10929.07,11822.59,10780.01,11239.05,4.796,54405.4137,11343.9144495
2017-12-02,10989.99,11197.34,10739.76,10960.37,3.952,43258.65868,10946.0168725
2017-12-01,9927.88,10900.0,9531.72,10790.42,3.33,34351.14633,10315.6595586
2017-11-30,9924.21,10741.3,9250.0,10079.63,5.04,50276.48393,9975.49284325
2017-11-29,9998.98,13000.0,9150.0,9978.76,7.715,80651.90158,10453.9081763
2017-11-28,9600.59,9999.99,9600.59,9872.04,2.347,23194.36523,9882.55868343
2017-11-27,9600.0,9789.99,9428.86,9600.0,6.983,66726.05227,9555.49939424
2017-11-26,8809.0,9975.0,8786.69,9561.92,9.657,88110.05365,9123.9570933
2017-11-25,8293.97,8739.3,8162.53,8734.19,2.739,23368.17639,8531.64526835
2017-11-24,8022.88,8299.0,7904.1,8232.29,3.22,26143.53161,8119.10919565
2017-11-23,8224.62,8250.1,8004.11,8069.07,4.04,32917.6211,8147.92601485
2017-11-22,8055.92,8286.2,8031.9,8191.73,4.781,39044.28257,8166.55146831
2017-11-21,8224.57,8338.1,7816.64,8057.11,3.867,31219.93826,8073.42597879
2017-11-20,8011.35,8357.76,7955.93,8250.27,2.335,19124.47349,8190.35267238
2017-11-19,7790.41,8900.0,7544.49,8002.23,3.799,29947.38945,7882.96642538
2017-11-18,7722.11,7821.13,7472.21,7815.71,5.23,40052.48523,7658.21897323
2017-11-17,7950.52,7995.86,7507.39,7722.11,8.351,65076.25349,7792.63004311
2017-11-16,7416.45,8500.0,7256.6,7861.99,8.31,63652.55235,7659.75359206
2017-11-15,6647.29,7294.79,6647.29,7294.79,0.857,5985.81635,6984.61651109
2017-11-14,6592.61,6797.13,6545.52,6629.14,0.822,5453.08085,6633.918309
2017-11-13,5986.07,6783.5,5986.07,6585.51,5.165,33958.13112,6574.66236592
2017-11-12,6344.66,6487.21,5646.57,5970.86,8.627,52453.05092,6080.10327113
2017-11-11,6699.0,6829.04,6255.81,6372.96,7.644,49254.77478,6443.58644427
2017-11-10,7259.27,7431.93,6457.76,6721.12,4.206,28973.65809,6888.64909415
2017-11-09,7491.82,7491.82,7177.56,7257.0,6.115,44733.6213,7315.39187244
2017-11-08,7108.8,7847.16,7000.0,7448.73,10.603,78285.80821,7383.3639734
2017-11-07,6989.52,7242.92,6975.08,7112.88,6.255,44562.96244,7124.37449081
2017-11-06,7379.28,7403.62,6973.71,6999.94,12.422,89529.92944,7207.3683336
2017-11-05,7326.85,7728.2,6701.01,7371.19,6.94,51779.54538,7461.02959366
2017-11-04,7121.97,7497.81,7043.38,7423.35,2.985,21424.68918,7177.45031156
2017-11-03,7008.38,7448.92,6737.0,7196.88,8.82,64005.83817,7256.8977517
2017-11-02,6977.83,7598.99,6612.61,7064.64,17.818,125087.26772,7020.27543608
2017-11-01,6424.72,6753.21,4780.0,6753.21,16.748,105950.69476,6326.16997612
2017-10-31,6134.05,6449.0,6113.95,6449.0,1.066,6774.11681,6354.70620075
2017-10-30,6158.37,6429.93,6055.15,6102.5,1.677,10312.08328,6149.12539058
2017-10-29,5739.4,6417.07,5728.31,6193.09,5.427,33259.56786,6128.53655058
2017-10-28,5789.84,5871.72,5702.71,5742.53,0.653,3782.95621,5793.19480858
2017-10-27,5906.79,6021.99,5774.34,5784.14,0.623,3658.79192,5872.86022472
2017-10-26,5763.7,5991.96,5728.69,5929.02,1.336,7888.31527,5904.42759731
2017-10-25,5546.83,5737.97,4780.0,5737.97,8.917,49154.79969,5512.48174162
2017-10-24,5888.01,5959.66,5517.87,5538.23,8.569,48830.95452,5698.5592858
2017-10-23,6038.65,6100.0,5785.18,6022.0,1.648,9795.80996,5944.05944175
2017-10-22,6151.56,6176.36,5904.2,6014.78,4.1,24566.41197,5991.80779756
2017-10-21,6003.43,6461.21,5963.93,6151.56,7.877,48790.31578,6194.02256951
2017-10-20,5712.7,6263.8,5640.45,6019.06,3.879,23294.17404,6005.20083527
2017-10-19,5629.99,5780.85,5564.13,5734.26,1.307,7391.79935,5655.546557
